"","yardline_100","quarter_seconds_remaining","goal_to_go","ydstogo","ydsnet","yards_gained","shotgun","no_huddle","air_yards","yards_after_catch","score_differential","first_down_pass","interception","jax_score","opp_score","jax_timeouts_remaining","opp_timeouts_remaining","side_of_field_MID","side_of_field_OPP","qtr_2","qtr_3","qtr_4","down_2","down_3","down_4","pass_length_short","pass_location_middle","pass_location_right","td_team_1","td_team_2"
"192",0.639175257731959,0.0812917594654788,0,0.636363636363636,0.375,0.222222222222222,1,0,0.0483870967741935,0.261363636363636,0.339622641509434,0,0,0.0789473684210526,0.0666666666666667,0.666666666666667,0.333333333333333,0,1,1,0,0,0,1,0,1,0,0,0,0
"193",0.422680412371134,0.812917594654788,0,0.272727272727273,0.653846153846154,0.255555555555556,0,0,0.0645161290322581,0.284090909090909,0.339622641509434,0,0,0.0789473684210526,0.0666666666666667,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"201",0.195876288659794,0.927616926503341,0,0.121212121212121,0.826923076923077,0.2,1,0,0.225806451612903,0.113636363636364,0.339622641509434,1,0,0.157894736842105,0.133333333333333,0.666666666666667,1,0,0,0,0,1,1,0,0,1,0,0,0,0
"202",0.123711340206186,0.826280623608018,1,0.363636363636364,0.826923076923077,0.166666666666667,0,0,0.17741935483871,0.113636363636364,0.339622641509434,0,0,0.157894736842105,0.133333333333333,0.666666666666667,1,0,0,0,0,1,1,0,0,1,0,1,0,0
"203",0.0309278350515464,0.791759465478842,1,0.0909090909090909,0.826923076923077,0.111111111111111,1,0,0.145161290322581,0.0795454545454545,0.339622641509434,1,0,0.157894736842105,0.266666666666667,0.666666666666667,1,0,0,0,0,1,0,1,0,1,1,0,0,1
"205",0.54639175257732,0.361915367483296,0,0.0909090909090909,0.596153846153846,0.144444444444444,1,0,0.209677419354839,0.0681818181818182,0.471698113207547,1,0,0.157894736842105,0.288888888888889,0.333333333333333,1,0,1,0,0,1,1,0,0,1,1,0,0,0
"208",0.536082474226804,0.43652561247216,0,0.272727272727273,0.221153846153846,0.2,1,0,0.161290322580645,0.159090909090909,0.339622641509434,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
"218",0.814432989690722,0.146993318485523,0,0.272727272727273,0.875,0.2,0,0,0.145161290322581,0.170454545454545,0.283018867924528,1,0,0.0789473684210526,0,1,0.666666666666667,0,1,1,0,0,0,0,0,1,0,1,0,0
"221",0.0103092783505155,0.0946547884187082,1,0.0303030303030303,0.875,0.0888888888888889,1,0,0.145161290322581,0.0568181818181818,0.283018867924528,1,0,0.0789473684210526,0.133333333333333,0.333333333333333,0.666666666666667,0,0,1,0,0,1,0,0,1,0,1,0,1
"228",0.814432989690722,0.204899777282851,0,0.272727272727273,0.798076923076923,0.177777777777778,1,0,0.306451612903226,0.0340909090909091,0.30188679245283,1,0,0.236842105263158,0.155555555555556,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0
"229",0.762886597938144,0.152561247216036,0,0.424242424242424,0.798076923076923,0.2,0,0,0.145161290322581,0.170454545454545,0.30188679245283,0,0,0.236842105263158,0.155555555555556,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
"230",0.639175257731959,0.130289532293987,0,0.0606060606060606,0.798076923076923,0.2,1,0,0.145161290322581,0.170454545454545,0.30188679245283,1,0,0.236842105263158,0.155555555555556,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0
"235",0.680412371134021,0.679287305122494,0,0.484848484848485,0.682692307692308,0.277777777777778,1,0,0.145161290322581,0.25,0.207547169811321,1,0,0.447368421052632,0.222222222222222,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0
"238",0.268041237113402,0.623608017817372,0,0.0909090909090909,0.682692307692308,0.2,1,0,0.338709677419355,0.0340909090909091,0.207547169811321,1,0,0.447368421052632,0.222222222222222,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0
"245",0.402061855670103,0.0812917594654788,0,0.272727272727273,0.769230769230769,0.233333333333333,1,0,0.225806451612903,0.147727272727273,0.0188679245283019,1,0,0.710526315789474,0.222222222222222,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"252",0.608247422680412,0.585746102449889,0,0.393939393939394,1,0.211111111111111,1,0,0.258064516129032,0.102272727272727,0.226415094339623,0,0,0.157894736842105,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
"253",0.45360824742268,0.44988864142539,0,0.272727272727273,1,0.211111111111111,1,0,0.17741935483871,0.159090909090909,0.226415094339623,1,0,0.157894736842105,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"256",0.505154639175258,0.171492204899777,0,0.272727272727273,0.259615384615385,0.244444444444444,1,0,0.403225806451613,0.0340909090909091,0.358490566037736,1,0,0.157894736842105,0.155555555555556,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"262",0.731958762886598,0.771714922048998,0,0.636363636363636,0.230769230769231,0.177777777777778,1,0,0.0483870967741935,0.215909090909091,0.113207547169811,0,0,0.5,0.155555555555556,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
"264",0.762886597938144,0.143652561247216,0,0.272727272727273,0.826923076923077,0.244444444444444,0,0,0.209677419354839,0.170454545454545,0.0566037735849057,1,0,0.578947368421053,0.155555555555556,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
